source_path,source_product_identifier,sku,current_product_id,in_current_keep_set,image_reference_count,valid_image_count,image_complete,exclusion_reason
newel.com/product/pair-of-english-regency-chinoiserie-black-armchairs.html,Pair of J Robert Scott French Louis XV style Chinoiserie Style Black Armchairs,NWL6043,product-nwl6043,yes,81,1,yes,
newel.com/product/pair-of-english-victorian-grey-upholstered-armchairs-.html,Pair of French Regence Grey Upholstered Armchairs,063968,product-063968,yes,84,0,yes,
newel.com/product/pair-of-french-louis-xvi-floral-upholstered-bergere-armchairs-.html,Pair of French Louis XVI Floral Upholstered Bergere Armchairs,NWL2749,product-nwl2749,yes,78,0,yes,
newel.com/product/pair-of-italian-neoclassical-style-malachite-veneered-obelisks.html,Pair of Italian Neoclassical Style Malachite Veneered Obelisks,REG4501,product-reg4501,yes,10,10,yes,
newel.com/product/pair-of-luther-conover-mid-century-american-horseshoe-metal-and-wood-counter-stools.html,"Pair of Luther Conover Mid-Century American ""Horseshoe""  Metal and Wood Counter Stools",DUF0836,product-duf0836,yes,73,73,yes,
newel.com/product/pair-of-mid-century-american-polished-chrome-brass-and-black-leather-barstools.html,"Pair of Mid-Century American Polished Chrome, Brass and Black Leather Barstools",DUF0869,product-duf0869,yes,72,72,yes,
newel.com/product/pair-of-mid-century-american-triangular-blue-vinyl-upholstered-wood-bar-stools.html,Pair of Mid-Century American Triangular Blue Vinyl Upholstered Wood Bar Stools,DUF0898,product-duf0898,yes,72,72,yes,
newel.com/product/pair-of-mid-century-italian-modern-trianguar-orange-upholstered-benches-(manner-of-gio-ponti).html,Pair of Mid-Century Italian Modern Triangular Orange Upholstered Footstools (manner of Gio Ponti),REG4086,product-reg4086,yes,120,4,yes,
newel.com/product/Pair-of-Outdoor-Neo-Classical-Natural-Patina-Iron-Flute-and-Tambourine-Playing-Putti-Statues.html,Pair of Outdoor Neo-Classical Natural Patina Iron Flute and Tambourine-Playing Putti Statues,GRS6254,product-grs6254,yes,162,162,yes,
newel.com/product/pair-of-roger-lecal-for-chabrieres-&-co-french-mid-century-vanity-mirrors.html,Pair of Roger Lecal for Chabrieres & co French Mid-Century Vanity Mirrors,DUF0961,product-duf0961,yes,54,0,yes,
newel.com/product/pair-of-vladimir-kagan-contemporary-american-nobu-or-cubist-walnut-upholstered-dining-chairs.html,"Pair of Vladimir Kagan Contemporary American ""Nobu"" or ""Cubist"" Walnut Upholstered Dining Chairs",REG5043,product-reg5043,yes,77,77,yes,
